PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
1630639,A.J. Lawson,A.J.,1610612742,DAL,23.0,1,1,0,1.0,5.483333333333333,3,3,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,6,7,7.2,0,0,7.0,1,1,1,1,74,38,62,1,52,71,52,36,41,36,43,61,67,65,50,40,25,1,1,54,49,22,68,11,3,66
1631260,AJ Green,AJ,1610612749,MIL,24.0,1,0,1,0.0,12.066666666666666,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,0,0,1,0,0,1,0,0,4,5.4,0,0,4.0,1,46,46,46,65,75,71,75,52,44,52,36,41,36,43,48,55,65,50,12,25,1,31,54,75,33,71,11,3,73
203458,Alex Len,Alex,1610612758,SAC,30.0,1,0,1,0.0,11.225,2,3,0.667,0,0,0.0,1,2,0.5,2,1,3,1,0,0,1,0,3,1,5,-2,13.1,0,0,11.0,1,46,46,46,66,50,62,16,52,71,52,27,21,30,7,61,42,46,50,40,8,1,68,34,58,46,55,11,3,59
1631214,Alondes Williams,Alondes,1610612748,MIA,24.0,1,0,1,0.0,1.5666666666666667,1,1,1.0,0,0,0.0,1,1,1.0,0,0,0,0,0,0,0,0,0,1,3,-5,3.0,0,0,3.0,1,46,46,46,85,63,76,1,52,71,52,27,34,1,43,73,76,65,50,40,25,1,1,34,64,58,75,11,3,75
203952,Andrew Wiggins,Andrew,1610612744,GSW,29.0,1,1,0,1.0,30.6,7,12,0.583,1,5,0.2,2,2,1.0,0,7,7,1,1,0,2,0,1,2,17,17,31.9,0,0,30.0,1,1,1,1,34,17,26,23,30,23,47,17,21,1,43,12,13,46,20,40,3,1,31,21,20,10,22,11,3,23
203076,Anthony Davis,Anthony,1610612747,LAL,31.0,1,1,0,1.0,51.86666666666667,12,31,0.387,3,8,0.375,7,7,1.0,7,16,23,2,4,2,4,2,1,4,34,2,78.6,1,0,74.0,1,1,1,1,1,2,1,55,12,9,27,3,4,1,2,1,1,34,3,2,1,86,31,9,1,38,2,1,3,1
1630559,Austin Reaves,Austin,1610612747,LAL,25.0,1,1,0,1.0,47.583333333333336,10,20,0.5,4,11,0.364,5,6,0.833,2,12,14,10,1,0,2,0,3,6,29,-2,65.8,1,1,61.0,1,1,1,1,4,4,7,32,5,5,28,7,6,20,7,3,3,3,20,40,3,1,68,3,2,46,3,1,1,3
1628389,Bam Adebayo,Bam,1610612748,MIA,26.0,1,0,1,0.0,38.60166666666667,10,21,0.476,1,3,0.333,3,4,0.75,3,6,9,5,1,1,1,0,1,5,24,-4,47.3,0,0,43.0,1,46,46,46,11,4,6,42,30,37,31,13,12,23,4,15,9,17,20,12,8,1,31,7,11,54,8,11,3,8
1626171,Bobby Portis,Bobby,1610612749,MIL,29.0,1,0,1,0.0,30.338333333333335,7,15,0.467,2,3,0.667,2,2,1.0,3,10,13,0,1,1,1,2,3,1,18,5,38.6,1,0,37.0,1,46,46,46,35,17,17,43,17,37,8,17,21,1,4,5,5,65,20,12,8,86,68,34,17,27,15,1,3,16
1641764,Brandin Podziemski,Brandin,1610612744,GSW,21.0,1,1,0,1.0,22.03,3,5,0.6,0,2,0.0,0,1,0.0,1,4,5,1,1,1,0,0,1,1,6,-4,15.5,0,0,14.0,1,1,1,1,46,38,44,19,52,44,52,36,34,36,19,21,27,46,20,12,25,1,31,34,49,54,50,11,3,51
201572,Brook Lopez,Brook,1610612749,MIL,35.0,1,0,1,0.0,33.166666666666664,4,7,0.571,1,4,0.25,0,0,0.0,1,5,6,1,0,1,0,0,2,0,9,4,20.7,0,0,19.0,1,46,46,46,20,31,38,24,30,26,38,36,41,36,19,19,18,46,50,12,25,1,57,54,38,33,39,11,3,37
203468,CJ McCollum,CJ,1610612740,NOP,32.0,1,0,1,0.0,41.38333333333333,8,24,0.333,4,11,0.364,3,3,1.0,0,6,6,5,0,0,0,0,2,1,23,-7,37.7,0,0,38.0,1,46,46,46,7,13,4,58,5,5,28,13,17,1,43,15,18,17,50,40,25,1,57,34,14,68,17,11,3,14
1628997,Caleb Martin,Caleb,1610612748,MIA,28.0,1,0,1,0.0,34.28333333333333,4,12,0.333,0,4,0.0,2,2,1.0,1,4,5,6,0,0,0,1,0,3,10,-4,25.0,0,0,21.0,1,46,46,46,16,31,26,58,52,26,52,17,21,1,19,21,27,13,50,40,25,66,1,15,34,54,31,11,3,34
1629629,Cam Reddish,Cam,1610612747,LAL,24.0,1,1,0,1.0,6.916666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3,0.0,0,0,0.0,1,1,1,1,72,75,85,75,52,71,52,36,41,36,43,73,76,65,50,40,25,1,1,54,75,51,86,11,3,86
1641717,Cason Wallace,Cason,1610612760,OKC,20.0,1,1,0,1.0,13.188333333333333,3,4,0.75,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,7,0,8.2,0,0,9.0,1,1,1,1,63,38,53,11,30,55,1,36,41,36,43,61,67,65,50,40,25,1,31,54,43,43,64,11,3,62
1631096,Chet Holmgren,Chet,1610612760,OKC,21.0,1,1,0,1.0,33.495,7,13,0.538,1,6,0.167,1,2,0.5,0,9,9,4,1,0,2,0,3,4,16,16,37.8,0,0,34.0,1,1,1,1,18,17,23,30,30,15,50,27,21,30,43,9,9,20,20,40,3,1,68,9,23,11,16,11,3,18
1630537,Chris Duarte,Chris,1610612758,SAC,26.0,1,0,1,0.0,12.766666666666667,1,5,0.2,1,4,0.25,0,0,0.0,0,1,1,0,1,1,1,1,1,0,3,-19,9.2,0,0,9.0,1,46,46,46,64,63,44,72,30,26,38,36,41,36,43,61,67,65,20,12,8,66,31,54,64,83,62,11,3,62
101108,Chris Paul,Chris,1610612744,GSW,38.0,1,1,0,1.0,23.016666666666666,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,7,3,2,0,0,2,0,0,1,15.9,0,0,13.0,1,1,1,1,45,75,71,75,52,55,52,36,41,36,43,48,55,11,7,2,25,1,57,54,75,40,46,11,3,53
1641732,Colby Jones,Colby,1610612758,SAC,21.0,1,0,1,0.0,5.483333333333333,1,3,0.333,0,0,0.0,0,0,0.0,2,0,2,2,0,0,0,0,1,0,2,-7,7.4,0,0,6.0,1,46,46,46,74,63,62,58,52,71,52,36,41,36,7,73,55,34,50,40,25,1,31,54,70,68,67,11,3,67
1631306,Cole Swider,Cole,1610612748,MIA,24.0,1,0,1,0.0,1.5666666666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,-5,-1.0,0,0,0.0,1,46,46,46,85,75,76,75,52,55,52,36,41,36,43,73,76,65,20,40,25,1,1,54,75,58,91,11,3,86
1626156,D'Angelo Russell,D'Angelo,1610612747,LAL,28.0,1,1,0,1.0,50.37833333333333,7,22,0.318,5,12,0.417,10,10,1.0,1,6,7,12,4,2,1,2,0,6,29,10,60.4,1,0,59.0,1,1,1,1,2,17,5,65,2,4,26,1,1,1,19,15,13,1,3,2,8,86,1,3,2,15,4,1,3,4
203081,Damian Lillard,Damian,1610612749,MIL,33.0,1,0,1,0.0,49.221666666666664,9,29,0.31,3,14,0.214,6,7,0.857,1,4,5,8,2,1,0,4,6,4,27,-5,46.0,0,0,45.0,1,46,46,46,3,10,2,66,12,1,46,4,4,19,19,21,27,7,15,12,25,91,91,9,8,58,9,11,3,7
1629655,Daniel Gafford,Daniel,1610612742,DAL,25.0,1,1,0,1.0,21.85,5,7,0.714,0,0,0.0,0,0,0.0,2,2,4,3,1,1,0,0,4,1,10,21,21.3,0,0,19.0,1,1,1,1,49,28,38,14,52,71,52,36,41,36,7,48,35,26,20,12,25,1,81,34,34,5,38,11,3,37
203957,Dante Exum,Dante,1610612742,DAL,28.0,1,1,0,1.0,21.975,2,4,0.5,2,3,0.667,0,0,0.0,0,2,2,4,1,1,0,1,1,1,6,14,16.4,0,0,16.0,1,1,1,1,47,50,53,32,17,37,8,36,41,36,43,48,55,20,20,12,25,66,31,34,49,13,45,11,3,43
1630558,Davion Mitchell,Davion,1610612758,SAC,25.0,1,0,1,0.0,15.933333333333334,2,5,0.4,2,3,0.667,0,0,0.0,0,0,0,2,0,0,0,0,0,0,6,-4,9.0,0,0,10.0,1,46,46,46,60,50,44,49,17,37,8,36,41,36,43,73,76,34,50,40,25,1,1,54,49,54,63,11,3,60
1628368,De'Aaron Fox,De'Aaron,1610612758,SAC,26.0,1,0,1,0.0,31.866666666666667,6,18,0.333,2,4,0.5,4,4,1.0,2,3,5,3,3,2,0,1,3,2,18,-27,31.5,0,0,32.0,1,46,46,46,25,24,11,58,17,26,16,10,12,1,7,37,27,26,7,2,25,66,68,21,17,90,25,11,3,21
1626153,Delon Wright,Delon,1610612748,MIA,31.0,1,0,1,0.0,16.008333333333333,0,3,0.0,0,1,0.0,0,0,0.0,1,2,3,3,0,0,0,0,0,1,0,-6,8.1,0,0,6.0,1,46,46,46,59,75,62,75,52,55,52,36,41,36,19,48,42,26,50,40,25,1,1,34,75,65,65,11,3,67
1641726,Dereck Lively II,Dereck,1610612742,DAL,20.0,1,1,0,1.0,21.966666666666665,2,5,0.4,0,0,0.0,0,0,0.0,0,7,7,1,0,1,2,2,1,0,4,10,22.9,0,0,18.0,1,1,1,1,48,50,44,49,52,71,52,36,41,36,43,12,13,46,50,12,3,86,31,54,61,15,35,11,3,39
1627884,Derrick Jones Jr.,Derrick,1610612742,DAL,27.0,1,1,0,1.0,21.233333333333334,2,5,0.4,2,4,0.5,2,2,1.0,0,3,3,3,0,1,1,0,0,4,8,25,22.1,0,0,20.0,1,1,1,1,51,50,44,49,17,26,16,17,21,1,43,37,42,26,50,12,8,1,1,9,41,2,37,11,3,36
1627734,Domantas Sabonis,Domantas,1610612758,SAC,27.0,1,0,1,0.0,31.291666666666668,3,10,0.3,0,1,0.0,6,8,0.75,1,10,11,9,4,0,2,1,1,7,12,-27,40.7,1,0,36.0,1,46,46,46,28,38,32,67,52,55,52,4,3,23,19,5,7,5,3,40,3,66,31,1,30,90,11,1,3,17
203110,Draymond Green,Draymond,1610612744,GSW,34.0,1,1,0,1.0,27.725,2,5,0.4,0,1,0.0,0,0,0.0,0,9,9,8,1,2,0,1,5,0,4,9,31.8,0,0,25.0,1,1,1,1,39,50,44,49,52,55,52,36,41,36,43,9,9,7,20,2,25,66,88,54,61,18,23,11,3,30
203939,Dwight Powell,Dwight,1610612742,DAL,32.0,1,1,0,1.0,4.183333333333334,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,0,0,5,1.2,0,0,1.0,1,1,1,1,80,75,76,75,52,71,52,36,41,36,43,61,67,65,50,40,25,66,1,54,75,27,83,11,3,82
1627780,Gary Payton II,Gary,1610612744,GSW,31.0,1,1,0,1.0,13.508333333333333,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,1,1,0,2,-3,8.0,0,0,6.0,1,1,1,1,62,63,62,58,52,71,52,36,41,36,43,73,76,65,50,12,8,66,31,54,70,51,66,11,3,67
203507,Giannis Antetokounmpo,Giannis,1610612749,MIL,29.0,1,0,1,0.0,46.416666666666664,14,25,0.56,0,1,0.0,1,6,0.167,8,13,21,11,7,2,3,1,3,6,29,-13,78.7,1,1,71.0,1,46,46,46,5,1,3,26,52,55,52,27,6,35,1,2,2,2,1,2,2,66,68,3,2,81,1,1,1,2
202330,Gordon Hayward,Gordon,1610612760,OKC,34.0,1,1,0,1.0,10.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-19,0.0,0,0,0.0,1,1,1,1,69,75,71,75,52,71,52,36,41,36,43,73,76,65,50,40,25,1,1,54,75,83,86,11,3,86
1630611,Gui Santos,Gui,1610612744,GSW,21.0,1,1,0,1.0,1.5666666666666667,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,5,5,5.0,0,0,6.0,1,1,1,1,85,50,71,1,30,55,1,36,41,36,43,73,76,65,50,40,25,1,1,54,58,27,72,11,3,67
203084,Harrison Barnes,Harrison,1610612758,SAC,31.0,1,0,1,0.0,24.366666666666667,3,10,0.3,1,4,0.25,0,0,0.0,2,3,5,3,0,1,0,0,0,1,7,-10,20.5,0,0,18.0,1,46,46,46,43,38,32,67,30,26,38,36,41,36,7,37,27,26,50,12,25,1,1,34,43,77,40,11,3,39
1629312,Haywood Highsmith,Haywood,1610612748,MIA,27.0,1,0,1,0.0,29.966666666666665,6,7,0.857,3,3,1.0,0,0,0.0,2,4,6,2,0,2,0,0,1,0,15,-1,31.2,0,0,30.0,1,46,46,46,36,24,38,9,12,37,1,36,41,36,7,21,18,34,50,2,25,1,31,54,27,45,26,11,3,23
1630529,Herbert Jones,Herbert,1610612740,NOP,25.0,1,0,1,0.0,30.94,4,12,0.333,2,8,0.25,6,6,1.0,0,2,2,4,2,1,1,0,5,4,16,-21,28.4,0,0,28.0,1,46,46,46,31,31,26,58,17,9,38,4,6,1,43,48,55,20,15,12,8,1,88,9,23,86,29,11,3,28
1630198,Isaiah Joe,Isaiah,1610612760,OKC,24.0,1,1,0,1.0,16.23,2,4,0.5,2,4,0.5,0,0,0.0,0,3,3,2,0,1,0,0,1,2,6,3,15.6,0,0,15.0,1,1,1,1,57,50,53,32,17,26,16,36,41,36,43,37,42,34,50,12,25,1,31,21,49,36,48,11,3,48
201580,JaVale McGee,JaVale,1610612758,SAC,36.0,1,0,1,0.0,5.483333333333333,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,-7,2.4,0,0,2.0,1,46,46,46,74,75,76,75,52,71,52,36,41,36,43,48,55,65,50,40,25,1,1,54,75,68,80,11,3,80
1630702,Jaden Hardy,Jaden,1610612742,DAL,21.0,1,1,0,1.0,4.183333333333334,3,4,0.75,1,2,0.5,0,0,0.0,0,0,0,0,1,0,0,0,0,0,7,5,6.0,0,0,8.0,1,1,1,1,80,38,53,11,30,44,16,36,41,36,43,73,76,65,20,40,25,1,1,54,43,27,69,11,3,64
203109,Jae Crowder,Jae,1610612749,MIL,33.0,1,0,1,0.0,18.24,2,4,0.5,1,2,0.5,0,0,0.0,0,2,2,0,0,1,0,0,2,0,5,-8,10.4,0,0,10.0,1,46,46,46,53,50,53,32,30,44,16,36,41,36,43,48,55,65,50,12,25,1,57,54,58,74,59,11,3,60
1631170,Jaime Jaquez Jr.,Jaime,1610612748,MIA,23.0,1,0,1,0.0,25.951666666666668,4,10,0.4,1,4,0.25,3,4,0.75,1,1,2,1,2,0,0,1,2,3,12,-24,13.9,0,0,16.0,1,46,46,46,42,31,32,49,30,26,38,13,12,23,19,61,55,46,15,40,25,66,57,15,30,88,54,11,3,43
